Hãng,Dòng xe,Năm sản xuất,Tình trạng,Số km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Nhiên liệu,Dung tích,Số chỗ,Giá (triệu)
ford,everest,2023,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Dầu,2.0,7.0,1189
audi,a5,2015,Xe đã dùng,70000.0,Nhập khẩu,Sedan,Số tự động,Xăng,2.0,5.0,899
mg,zs,2020,Xe đã dùng,22000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,1.5,5.0,436
mercedes benz,maybach,2022,Xe mới,0.0,Nhập khẩu,Sedan,Số tự động,Xăng,4.0,4.0,16000
mercedes benz,glk,2009,Xe đã dùng,0.0,Trong nước,SUV /Crossover,Số tự động,Xăng,3.0,5.0,345
ford,territory,2023,Xe mới,0.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.5,5.0,831
peugeot,5008,2020,Xe đã dùng,48000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.6,7.0,825
kia,carnival,2022,Xe đã dùng,120000.0,Trong nước,Van/Minivan,Số tự động,Dầu,2.2,8.0,1170
toyota,corollaaltis,2015,Xe đã dùng,79000.0,Trong nước,Sedan,Số tự động,Xăng,1.8,5.0,455
ford,ranger,2023,Xe mới,0.0,Trong nước,Bán tải / Pickup,Số tự động,Dầu,2.0,5.0,869
vinfast,luxa,2021,Xe đã dùng,25000.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,585
kia,forte,2012,Xe đã dùng,120000.0,Trong nước,Sedan,Số tay,Xăng,1.6,5.0,250
infiniti,qx,2015,Xe đã dùng,80000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,5.6,7.0,2380
mercedes benz,cclass,2020,Xe đã dùng,20000.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,1190
vinfast,fadil,2020,Xe đã dùng,35000.0,Trong nước,Hatchback,Số tự động,Xăng,1.4,5.0,299
lexus,rx,2019,Xe đã dùng,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,3.5,5.0,2200
