Hãng xe,Năm sản xuất,Tình trạng,Số km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Nhiên liệu,Số chỗ ngồi,Giá xe (triệu)
Porsche,2010,Xe đã dùng,78000,Nhập khẩu,SUV,Số tự động,Xăng,5,1450
Kia,2016,Xe đã dùng,71123,Lắp ráp trong nước,Hatchback,Số tự động,Xăng,5,265
Toyota,2020,Xe đã dùng,46600,Lắp ráp trong nước,SUV,Số tay,Dầu,7,850
Kia,2022,Xe đã dùng,11000,Lắp ráp trong nước,Sedan,Số tay,Xăng,5,355
Kia,2020,Xe đã dùng,30000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,395
Lexus,1998,Xe đã dùng,500000,Nhập khẩu,Sedan,Số tự động,Xăng,5,420
Kia,2023,Xe mới,0,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,599
Ford,2018,Xe đã dùng,96000,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,5,535
Toyota,2018,Xe đã dùng,55000,Nhập khẩu,SUV,Số tự động,Xăng,7,1850
Ford,2004,Xe đã dùng,185,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,115
Mercedes Benz,2020,Xe đã dùng,12000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,1039
Ford,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Dầu,7,1178
Toyota,2021,Xe đã dùng,26000,Nhập khẩu,Sedan,Số tự động,Xăng,5,1020
Mercedes Benz,2023,Xe mới,0,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,2199
Mercedes Benz,2022,Xe mới,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,2540
Honda,2022,Xe đã dùng,19000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,489
Hyundai,2023,Xe mới,0,Lắp ráp trong nước,Sedan,Số tay,Xăng,5,405
Toyota,2012,Xe đã dùng,70000,Nhập khẩu,SUV,Số tự động,Xăng,7,1190
Toyota,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Hybrid,5,955
Mitsubishi,2023,Xe mới,0,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,756
Kia,2019,Xe đã dùng,48000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,499
Ford,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Dầu,7,1240
Mercedes Benz,2016,Xe đã dùng,29000,Nhập khẩu,Sedan,Số tự động,Xăng,5,3150
Hyundai,2023,Xe mới,0,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,889
Toyota,2001,Xe đã dùng,1,Nhập khẩu,SUV,Số tay,Xăng,8,199
Audi,2008,Xe đã dùng,87600,Nhập khẩu,SUV,Số tự động,Xăng,7,410
Mazda,2017,Xe đã dùng,40000,Lắp ráp trong nước,Hatchback,Số tự động,Xăng,5,435
Mitsubishi,2023,Xe mới,0,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,850
Lexus,2009,Xe đã dùng,70000,Nhập khẩu,Convertible/Cabriolet,Số tự động,Xăng,4,819
Toyota,2020,Xe đã dùng,39000,Nhập khẩu,SUV,Số tự động,Xăng,7,835
Suzuki,2022,Xe mới,0,Nhập khẩu,SUV,Số tay,Hybrid,7,538
Ford,2017,Xe đã dùng,92000,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,5,455
Ford,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Dầu,7,1178
Kia,2020,Xe đã dùng,41569,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,530
Haval,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Hybrid,5,852
Ford,2021,Xe đã dùng,31000,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu,5,545
Hyundai,2022,Xe đã dùng,0,Lắp ráp trong nước,SUV,Số tự động,Dầu,7,1085
Honda,2017,Xe đã dùng,80000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,579
Mercedes Benz,2021,Xe đã dùng,11000,Nhập khẩu,Sedan,Số tự động,Xăng,5,4199
Kia,2020,Xe đã dùng,40000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,529
VinFast,2023,Xe đã dùng,6000,Lắp ráp trong nước,SUV,Số tự động,Điện,6,1220
BMW,2023,Xe mới,0,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,1789
Ford,2023,Xe mới,0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu,5,677
Mercedes Benz,2021,Xe đã dùng,12800,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,1899
Ford,2023,Xe mới,0,Lắp ráp trong nước,Van/Minivan,Số tay,Dầu,16,849
Toyota,2016,Xe đã dùng,70000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,668
Mercedes Benz,2017,Xe đã dùng,32000,Nhập khẩu,Sedan,Số tự động,Xăng,5,3999
Honda,2014,Xe đã dùng,110000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,486
Honda,2021,Xe đã dùng,18000,Nhập khẩu,Hatchback,Số tự động,Xăng,5,392
Mercedes Benz,2022,Xe đã dùng,16000,Nhập khẩu,SUV,Số tự động,Xăng,7,3480
Honda,2023,Xe mới,0,Nhập khẩu,Sedan,Số tự động,Xăng,5,1329
Toyota,2023,Xe mới,0,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,698
Mercedes Benz,2022,Xe đã dùng,18000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,1557
Hyundai,2023,Xe mới,0,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,1125
Mazda,2016,Xe đã dùng,0,Nhập khẩu,Bán tải / Pickup,Số tay,Dầu,5,390
Mercedes Benz,2023,Xe mới,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,1599
Honda,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,7,705
Mercedes Benz,2021,Xe đã dùng,28000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,1399
BMW,2019,Xe đã dùng,20000,Nhập khẩu,SUV,Số tự động,Xăng,5,1699
Hyundai,2009,Xe đã dùng,150000,Nhập khẩu,SUV,Số tự động,Dầu,7,399
