Tên xe,Năm sản xuất,Tình trạng,Số km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Động cơ,Màu ngoại thất,Màu nội thất,Dẫn động,Số chỗ ngồi,Giá xe
Xe Hyundai Stargazer Cao cấp 1.5 AT,2023,Xe mới,Xe mới,Nhập khẩu,Van/Minivan,Số tự động,Xăng  1.5 L,Trắng,Đen,FWD - Dẫn động cầu trước,7 chỗ,560 Triệu
Xe Toyota Camry 2.0G,2020,Xe đã dùng,"46,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  2.0 L,Đen,Đen,FWD - Dẫn động cầu trước,5 chỗ,845 Triệu
Xe Kia Sorento 2.2 DAT Premium,2019,Xe đã dùng,"69,000 Km",Lắp ráp trong nước,SUV,Số tự động,Dầu  2.2 L,Nâu,Kem,FWD - Dẫn động cầu trước,7 chỗ,722 Triệu
Xe Mitsubishi Outlander Premium 2.0 CVT,2022,Xe đã dùng,"30,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Trắng,Đen,FWD - Dẫn động cầu trước,7 chỗ,786 Triệu
Xe Kia Seltos Premium 1.4 AT,2020,Xe đã dùng,"45,268 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.4 L,Đỏ,Kem,FWD - Dẫn động cầu trước,5 chỗ,590 Triệu
Xe Ford Focus Titanium 2.0 AT,2015,Xe đã dùng,"66,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Trắng,Kem,FWD - Dẫn động cầu trước,5 chỗ,368 Triệu
Xe Toyota Camry 2.0G,2021,Xe đã dùng,"34,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  2.0 L,Đen,Kem,FWD - Dẫn động cầu trước,5 chỗ,855 Triệu
Xe Fiat Siena ELX 1.3,2004,Xe đã dùng,0 Km,Lắp ráp trong nước,Sedan,Số tay,Xăng  1.2 L,Cát,Kem,FWD - Dẫn động cầu trước,5 chỗ,60 Triệu
Xe VinFast Fadil 1.4 AT,2021,Xe đã dùng,"20,000 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng  1.4 L,Xám,Ghi,FWD - Dẫn động cầu trước,5 chỗ,315 Triệu
Xe Toyota Camry LE 3.5,2007,Xe đã dùng,"108,080 Km",Nhập khẩu,Sedan,Số tự động,Xăng  3.5 L,Đen,Ghi,FWD - Dẫn động cầu trước,5 chỗ,345 Triệu
Xe Kia Carnival Premium 2.2D,2022,Xe đã dùng,"30,000 Km",Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu  2.2 L,Xanh,Nâu,FWD - Dẫn động cầu trước,7 chỗ,1 Tỷ 228 Triệu
Xe Kia Carnival Luxury 2.2D,2021,Xe đã dùng,"20,000 Km",Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu  2.2 L,Trắng,-,FWD - Dẫn động cầu trước,8 chỗ,1 Tỷ 99 Triệu
Xe Toyota Camry 2.5Q,2021,Xe đã dùng,"26,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  2.5 L,Trắng,Đen,FWD - Dẫn động cầu trước,5 chỗ,1 Tỷ 20 Triệu
Xe Toyota Fortuner 2.4L 4x2 AT,2022,Xe đã dùng,"19,000 Km",Lắp ráp trong nước,SUV,Số tự động,Dầu  2.4 L,Đen,Đen,RFD - Dẫn động cầu sau,7 chỗ,990 Triệu
Xe Ford Explorer Limited 2.3L EcoBoost,2022,Xe đã dùng,"25,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  2.3 L,Đen,Đen,AWD - 4 bánh toàn thời gian,7 chỗ,2 Tỷ 150 Triệu
Xe Porsche Panamera 3.0 V6,2021,Xe đã dùng,"25,600 Km",Nhập khẩu,Sedan,Số tự động,Xăng  3.0 L,Trắng,Kem,RFD - Dẫn động cầu sau,4 chỗ,5 Tỷ 550 Triệu
Xe Hyundai i10 Grand 1.0 AT,2017,Xe đã dùng,"68,000 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng  1.0 L,Đỏ,Nhiều màu,FWD - Dẫn động cầu trước,5 chỗ,295 Triệu
Xe Subaru BRZ 2.4 AT EyeSight,2023,Xe mới,Xe mới,Nhập khẩu,Coupe,Số tự động,Xăng  2.4 L,Trắng,-,RFD - Dẫn động cầu sau,2 chỗ,1 Tỷ 607 Triệu
Xe Peugeot 3008 1.6 AT,2019,Xe đã dùng,"34,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.6 L,Trắng,Đen,FWD - Dẫn động cầu trước,5 chỗ,688 Triệu
Xe Kia Sorento GATH 2.4L 2WD,2014,Xe đã dùng,"100,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.4 L,Trắng,Đen,FWD - Dẫn động cầu trước,7 chỗ,440 Triệu
Xe BMW 5 Series 520i,2016,Xe đã dùng,"69,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  2.0 L,Trắng,Đen,RFD - Dẫn động cầu sau,5 chỗ,850 Triệu
Xe Hyundai Elantra 1.6 AT,2016,Xe đã dùng,0 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.6 L,Nâu,Kem,FWD - Dẫn động cầu trước,5 chỗ,395 Triệu
Xe Toyota Camry 2.0G,2020,Xe đã dùng,"28,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  2.0 L,Trắng,Kem,FWD - Dẫn động cầu trước,5 chỗ,945 Triệu
Xe Mazda 3 1.5L Deluxe,2022,Xe đã dùng,"20,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Xanh,Đen,FWD - Dẫn động cầu trước,5 chỗ,550 Triệu
Xe Toyota Corolla altis 2.0V,2013,Xe đã dùng,"110,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Bạc,Kem,FWD - Dẫn động cầu trước,5 chỗ,420 Triệu
Xe Toyota Camry 2.5Q,2017,Xe đã dùng,"70,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.5 L,Đen,Nâu,FWD - Dẫn động cầu trước,5 chỗ,735 Triệu
Xe Hyundai SantaFe Premium 2.2L HTRAC,2020,Xe đã dùng,"49,000 Km",Lắp ráp trong nước,SUV,Số tự động,Dầu  2.2 L,Đỏ,Nâu,AWD - 4 bánh toàn thời gian,7 chỗ,880 Triệu
Xe Hyundai Solati H350 2.5 MT,2017,Xe đã dùng,"128,000 Km",Lắp ráp trong nước,Van/Minivan,Số tay,Dầu  2.5 L,Bạc,Nhiều màu,RFD - Dẫn động cầu sau,16 chỗ,750 Triệu
Xe Kia Sedona 2.2 DAT Luxury,2020,Xe đã dùng,0 Km,Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu  2.2 L,Nâu,Kem,FWD - Dẫn động cầu trước,7 chỗ,950 Triệu
Xe Mercedes Benz C class C300 AMG,2022,Xe mới,Xe mới,Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Trắng,Nâu,RFD - Dẫn động cầu sau,5 chỗ,2 Tỷ 89 Triệu
Xe Mitsubishi Xpander Cross 1.5 AT,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Xăng  1.5 L,Trắng,Đen,FWD - Dẫn động cầu trước,7 chỗ,698 Triệu
Xe Honda CRV L,2021,Xe đã dùng,0 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  1.5 L,Trắng,Đen,FWD - Dẫn động cầu trước,7 chỗ,890 Triệu
Xe Mitsubishi Outlander Premium 2.0 CVT,2023,Xe mới,Xe mới,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Trắng,Đen,FWD - Dẫn động cầu trước,7 chỗ,852 Triệu
Xe Ford Territory Trend 1.5 AT,2023,Xe mới,Xe mới,Lắp ráp trong nước,SUV,Số tự động,Xăng  1.5 L,Nâu,Đen,FWD - Dẫn động cầu trước,5 chỗ,822 Triệu
Xe Kia K3 1.6 AT,2015,Xe đã dùng,"80,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.6 L,Trắng,Ghi,FWD - Dẫn động cầu trước,5 chỗ,390 Triệu
Xe Mitsubishi Outlander 2.0 CVT,2023,Xe mới,Xe mới,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Đen,Ghi,FWD - Dẫn động cầu trước,7 chỗ,738 Triệu
Xe Hyundai Porter H150,2023,Xe mới,Xe mới,Lắp ráp trong nước,Truck,Số tay,Dầu,Trắng,Ghi,RFD - Dẫn động cầu sau,3 chỗ,450 Triệu
Xe Ford Ranger Wildtrak 2.0L 4x4 AT,2020,Xe đã dùng,"32,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.0 L,Đen,Đen,4WD - Dẫn động 4 bánh,5 chỗ,715 Triệu
Xe Hyundai SantaFe 2.2L HTRAC,2019,Xe đã dùng,"48,000 Km",Lắp ráp trong nước,SUV,Số tự động,Dầu  2.2 L,Xanh,Đen,AWD - 4 bánh toàn thời gian,7 chỗ,840 Triệu
Xe Kia Carnival Luxury 2.2D,2022,Xe đã dùng,"58,000 Km",Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu  2.2 L,Xanh,Vàng,FWD - Dẫn động cầu trước,8 chỗ,1 Tỷ 50 Triệu
Xe Mercedes Benz E class E300 AMG,2023,Xe mới,Xe mới,Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Đen,Đen,RFD - Dẫn động cầu sau,5 chỗ,2 Tỷ 888 Triệu
Xe Kia Seltos Luxury 1.4 AT,2021,Xe đã dùng,"21,222 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.4 L,Trắng,Kem,FWD - Dẫn động cầu trước,5 chỗ,570 Triệu
Xe Nissan Navara EL 2.3 AT 2WD,2023,Xe mới,Xe mới,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.3 L,Xanh,-,RFD - Dẫn động cầu sau,5 chỗ,609 Triệu
Xe Ford Transit Tiêu chuẩn,2023,Xe mới,Xe mới,Lắp ráp trong nước,Van/Minivan,Số tay,Dầu  2.2 L,Đen,Màu khác,RFD - Dẫn động cầu sau,16 chỗ,849 Triệu
Xe Hyundai Accent 1.4 AT,2023,Xe mới,Xe mới,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.4 L,Bạc,-,FWD - Dẫn động cầu trước,5 chỗ,467 Triệu
Xe Hyundai Stargazer Cao cấp 1.5 AT,2023,Xe mới,Xe mới,Nhập khẩu,Van/Minivan,Số tự động,Xăng  1.5 L,Trắng,-,FWD - Dẫn động cầu trước,7 chỗ,550 Triệu
Xe Toyota Fortuner 2.4L 4x2 AT,2022,Xe đã dùng,0 Km,Lắp ráp trong nước,SUV,Số tự động,Dầu  2.4 L,Trắng,Đen,RFD - Dẫn động cầu sau,7 chỗ,1 Tỷ 19 Triệu
Xe Audi A4 1.8 TFSI,2014,Xe đã dùng,"90,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  1.8 L,Trắng,Ghi,FWD - Dẫn động cầu trước,5 chỗ,595 Triệu
Xe Toyota Innova G,2007,Xe đã dùng,"100,000 Km",Lắp ráp trong nước,Crossover,Số tay,Xăng  2.0 L,Vàng,Kem,RFD - Dẫn động cầu sau,8 chỗ,235 Triệu
Xe Kia Seltos Premium 1.4 AT,2023,Xe mới,Xe mới,Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.4 L,Vàng,Kem,FWD - Dẫn động cầu trước,5 chỗ,699 Triệu
Xe Hyundai i10 Grand 1.2 AT,2017,Xe đã dùng,"89,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.25 L,Nâu,Nhiều màu,FWD - Dẫn động cầu trước,5 chỗ,295 Triệu
Xe Haval H6 HEV,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Hybrid  1.5 L,Trắng,Nhiều màu,FWD - Dẫn động cầu trước,5 chỗ,852 Triệu
Xe Isuzu Hi lander X-Treme 2.5 MT,2007,Xe đã dùng,"200,000 Km",Lắp ráp trong nước,SUV,Số tay,Dầu  2.5 L,Bạc,Nhiều màu,RFD - Dẫn động cầu sau,8 chỗ,165 Triệu
Xe Toyota Camry 2.5Q,2018,Xe đã dùng,"86,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.5 L,Đen,Nâu,FWD - Dẫn động cầu trước,5 chỗ,730 Triệu
Xe Toyota Fortuner 2.7V 4x4 AT,2017,Xe đã dùng,"100,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  2.7 L,Trắng,Nâu,4WD - Dẫn động 4 bánh,7 chỗ,720 Triệu
Xe Ford Ranger Wildtrak 2.0L 4x4 AT,2023,Xe mới,Xe mới,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu  2.0 L,Bạc,Đen,4WD - Dẫn động 4 bánh,5 chỗ,902 Triệu
Xe Toyota Sienna Limited 3.5,2015,Xe đã dùng,"68,000 Km",Nhập khẩu,Van/Minivan,Số tự động,Xăng  3.5 L,Trắng,Kem,FWD - Dẫn động cầu trước,7 chỗ,1 Tỷ 980 Triệu
Xe BMW 4 Series 430i Convertible M Sport,2021,Xe đã dùng,"16,000 Km",Nhập khẩu,Convertible/Cabriolet,Số tự động,Xăng  2.0 L,Đen,Đỏ,RFD - Dẫn động cầu sau,4 chỗ,2 Tỷ 899 Triệu
Xe Honda CRV 2.4 AT,2010,Xe đã dùng,"150,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.4 L,Đỏ,Đen,FWD - Dẫn động cầu trước,5 chỗ,345 Triệu
Xe Hyundai i10 Grand 1.2 AT,2021,Xe đã dùng,"42,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.25 L,Trắng,Nhiều màu,FWD - Dẫn động cầu trước,5 chỗ,345 Triệu
Xe Kia Morning LX,2016,Xe đã dùng,"180,000 Km",Lắp ráp trong nước,Hatchback,Số tay,Xăng  1.25 L,Trắng,Trắng,FWD - Dẫn động cầu trước,5 chỗ,145 Triệu
Xe LandRover Range Rover HSE 3.0,2014,Xe đã dùng,"40,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  3.0 L,Vàng,Nâu,AWD - 4 bánh toàn thời gian,5 chỗ,2 Tỷ 400 Triệu
Xe Toyota Corolla Cross 1.8V,2020,Xe đã dùng,"40,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  1.8 L,Xanh,Nâu,FWD - Dẫn động cầu trước,5 chỗ,735 Triệu
Xe Kia Carnival Signature 3.5G,2022,Xe đã dùng,"30,000 Km",Lắp ráp trong nước,Van/Minivan,Số tự động,Xăng  3.5 L,Trắng,Nâu,FWD - Dẫn động cầu trước,7 chỗ,1 Tỷ 630 Triệu
Xe Peugeot 2008 GT Line 1.2 AT,2021,Xe đã dùng,"40,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.2 L,Đỏ,Đen,FWD - Dẫn động cầu trước,5 chỗ,686 Triệu
Xe Lexus RX 350 AWD,2015,Xe đã dùng,"104,585 Km",Nhập khẩu,SUV,Số tự động,Xăng  3.5 L,Đỏ,Kem,AWD - 4 bánh toàn thời gian,5 chỗ,1 Tỷ 590 Triệu
Xe BMW 3 Series 320i,2016,Xe đã dùng,"71,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  2.0 L,Trắng,Đen,RFD - Dẫn động cầu sau,5 chỗ,585 Triệu
Xe Toyota Prado TXL 2.7L,2015,Xe đã dùng,"90,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  2.7 L,Đồng,Đen,4WD - Dẫn động 4 bánh,7 chỗ,1 Tỷ 190 Triệu
Xe Lexus LX 570,2016,Xe đã dùng,"62,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  5.7 L,Trắng,Kem,AWD - 4 bánh toàn thời gian,7 chỗ,4 Tỷ 850 Triệu
Xe Suzuki Swift GLX 1.2 AT,2019,Xe đã dùng,"23,000 Km",Nhập khẩu,Hatchback,Số tự động,Xăng  1.2 L,Đỏ,Nhiều màu,FWD - Dẫn động cầu trước,5 chỗ,430 Triệu
Xe Honda Civic 2.0 AT,2014,Xe đã dùng,"70,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Bạc,Đen,FWD - Dẫn động cầu trước,5 chỗ,375 Triệu
Xe Ford Ranger Raptor 2.0L 4x4 AT,2018,Xe đã dùng,0 Km,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.0 L,Đỏ,Đen,4WD - Dẫn động 4 bánh,5 chỗ,795 Triệu
Xe Toyota Yaris 1.3E,2014,Xe đã dùng,"89,999 Km",Nhập khẩu,Hatchback,Số tự động,Xăng  1.3 L,Đỏ,Kem,FWD - Dẫn động cầu trước,5 chỗ,345 Triệu
Xe Mazda 3 1.5L Luxury,2021,Xe đã dùng,"46,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Đỏ,Đen,FWD - Dẫn động cầu trước,5 chỗ,569 Triệu
Xe Hyundai i10 1.2 AT,2023,Xe mới,Xe mới,Lắp ráp trong nước,Hatchback,Số tự động,Xăng  1.25 L,Đỏ,Đen,FWD - Dẫn động cầu trước,5 chỗ,416 Triệu
Xe Mitsubishi Outlander 2.0 CVT Premium,2020,Xe đã dùng,0 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Trắng,Đen,FWD - Dẫn động cầu trước,7 chỗ,699 Triệu
Xe Ford Everest Titanium Plus 2.0L 4x4 AT,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Dầu  2.0 L,Xám,Nâu,4WD - Dẫn động 4 bánh,7 chỗ,1 Tỷ 378 Triệu
Xe BMW 5 Series 528i GT,2016,Xe đã dùng,0 Km,Nhập khẩu,Sedan,Số tự động,Xăng  2.0 L,Trắng,Nâu,RFD - Dẫn động cầu sau,5 chỗ,950 Triệu
Xe Subaru Forester 2.0i-L EyeSight,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Xăng  2.0 L,Xanh,Đen,AWD - 4 bánh toàn thời gian,5 chỗ,934 Triệu
Xe Ford EcoSport Titanium 1.5L AT,2017,Xe đã dùng,"61,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  1.5 L,Xám,Đen,FWD - Dẫn động cầu trước,5 chỗ,368 Triệu
Xe Toyota Fortuner 2.4G 4x2 MT,2023,Xe mới,Xe mới,Lắp ráp trong nước,SUV,Số tay,Dầu  2.4 L,Trắng,Đen,RFD - Dẫn động cầu sau,7 chỗ,1 Tỷ 26 Triệu
Xe Lexus NX 300,2019,Xe đã dùng,"48,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  2.0 L,Trắng,Nâu,AWD - 4 bánh toàn thời gian,5 chỗ,1 Tỷ 780 Triệu
Xe Toyota Camry 2.0Q,2023,Xe mới,Xe mới,Nhập khẩu,Sedan,Số tự động,Xăng  2.0 L,Đỏ,Kem,FWD - Dẫn động cầu trước,5 chỗ,1 Tỷ 155 Triệu
Xe Mercedes Benz GLE Class GLE 450 4Matic,2023,Xe đã dùng,"4,800 Km",Nhập khẩu,SUV,Số tự động,Xăng  3.0 L,Trắng,Đen,AWD - 4 bánh toàn thời gian,7 chỗ,4 Tỷ 120 Triệu
Xe Ford Everest Titanium Plus 2.0L 4x4 AT,2023,Xe đã dùng,"5,000 Km",Nhập khẩu,SUV,Số tự động,Dầu  2.0 L,Đen,Kem,4WD - Dẫn động 4 bánh,7 chỗ,1 Tỷ 445 Triệu
Xe Kia Rio 1.4 AT,2017,Xe đã dùng,"100,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  1.4 L,Trắng,Kem,FWD - Dẫn động cầu trước,5 chỗ,350 Triệu
Xe Toyota Vios 1.5G,2012,Xe đã dùng,0 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Bạc,Kem,FWD - Dẫn động cầu trước,5 chỗ,325 Triệu
Xe Toyota Fortuner TRD Sportivo 4x2 AT,2016,Xe đã dùng,0 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.7 L,Trắng,Kem,RFD - Dẫn động cầu sau,7 chỗ,576 Triệu
Xe Mercedes Benz GLA class GLA 200,2016,Xe đã dùng,"80,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  1.6 L,Đen,Đen,FWD - Dẫn động cầu trước,5 chỗ,630 Triệu
Xe Toyota Fortuner TRD Sportivo 4x2 AT,2016,Xe đã dùng,0 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.7 L,Trắng,Kem,RFD - Dẫn động cầu sau,7 chỗ,575 Triệu
Xe Hyundai Mighty EX8L 7 tấn,2023,Xe mới,Xe mới,Nhập khẩu,Truck,Số tay,Dầu,Trắng,Ghi,RFD - Dẫn động cầu sau,3 chỗ,830 Triệu
Xe Ford Territory Titanium X 1.5 AT,2023,Xe mới,Xe mới,Lắp ráp trong nước,SUV,Số tự động,Xăng  1.5 L,Trắng,Xanh,FWD - Dẫn động cầu trước,5 chỗ,954 Triệu
Xe Mercedes Benz GLC 200,2022,Xe mới,Xe mới,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Xanh,Kem,RFD - Dẫn động cầu sau,5 chỗ,1 Tỷ 909 Triệu
Xe Toyota Corolla Cross 1.8V,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Xăng  1.8 L,Xanh,Đen,FWD - Dẫn động cầu trước,5 chỗ,860 Triệu
Xe Kia Carnival Signature 2.2D,2023,Xe mới,Xe mới,Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu  2.2 L,Trắng,Nâu,FWD - Dẫn động cầu trước,7 chỗ,1 Tỷ 419 Triệu
Xe Isuzu FVR 8T Thùng,2015,Xe đã dùng,0 Km,Lắp ráp trong nước,Truck,Số tay,Dầu,Trắng,Xám,RFD - Dẫn động cầu sau,3 chỗ,860 Triệu
Xe Peugeot 3008 GT,2022,Xe đã dùng,"40,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.6 L,Trắng,Nâu,FWD - Dẫn động cầu trước,5 chỗ,895 Triệu
Xe Mazda CX5 2.5 AT 2WD,2019,Xe đã dùng,"50,146 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.5 L,Xám,Đen,FWD - Dẫn động cầu trước,5 chỗ,660 Triệu
Xe Mazda 3 1.5L Deluxe,2021,Xe đã dùng,0 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Trắng,Đỏ,FWD - Dẫn động cầu trước,5 chỗ,580 Triệu
Xe Hyundai Accent 1.4 AT Đặc Biệt,2022,Xe đã dùng,"18,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.4 L,Đỏ,Kem,FWD - Dẫn động cầu trước,5 chỗ,505 Triệu
Xe Toyota Veloz Cross Top 1.5 CVT,2022,Xe đã dùng,"60,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  1.5 L,Bạc,Đen,FWD - Dẫn động cầu trước,7 chỗ,585 Triệu
Xe Kia Sedona 2.2L DATH,2018,Xe đã dùng,"68,000 Km",Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu  2.2 L,Xanh,Kem,FWD - Dẫn động cầu trước,7 chỗ,769 Triệu
Xe Hyundai SantaFe 2.2L HTRAC,2019,Xe đã dùng,"48,000 Km",Lắp ráp trong nước,SUV,Số tự động,Dầu  2.2 L,Xanh,Đen,AWD - 4 bánh toàn thời gian,7 chỗ,840 Triệu
Xe Toyota Sienna Platinum 2.5 AT,2021,Xe đã dùng,"10,000 Km",Nhập khẩu,Van/Minivan,Số tự động,Hybrid  2.5 L,Trắng,Nâu,FWD - Dẫn động cầu trước,7 chỗ,4 Tỷ 150 Triệu
Xe Peugeot 3008 1.6 AT,2019,Xe đã dùng,0 Km,Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.6 L,Nâu,Đen,FWD - Dẫn động cầu trước,5 chỗ,609 Triệu
Xe Lincoln Navigator Black Label,2018,Xe đã dùng,"25,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  3.5 L,Đen,Đỏ,4WD - Dẫn động 4 bánh,7 chỗ,5 Tỷ 800 Triệu
Xe Toyota Innova 2.0E,2016,Xe đã dùng,"80,000 Km",Lắp ráp trong nước,Crossover,Số tay,Xăng  2.0 L,Bạc,Kem,RFD - Dẫn động cầu sau,8 chỗ,375 Triệu
Xe Hyundai Tucson 2.0 AT CRDi Đặc biệt,2022,Xe đã dùng,"20,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Dầu  2.0 L,Đen,Đen,FWD - Dẫn động cầu trước,5 chỗ,875 Triệu
Xe Isuzu Dmax UTZ 1.9L 4x4 MT,2023,Xe mới,Xe mới,Nhập khẩu,Bán tải / Pickup,Số tay,Dầu  1.9 L,Trắng,Đen,4WD - Dẫn động 4 bánh,5 chỗ,629 Triệu
Xe Mercedes Benz E class E200 Sport,2019,Xe đã dùng,"5,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Trắng,Đen,RFD - Dẫn động cầu sau,5 chỗ,1 Tỷ 450 Triệu
Xe Hyundai Accent 1.4 AT Đặc Biệt,2021,Xe đã dùng,"46,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.4 L,Cát,Kem,FWD - Dẫn động cầu trước,5 chỗ,455 Triệu
Xe Toyota Sienna Limited 3.5 AWD,2012,Xe đã dùng,0 Km,Nhập khẩu,Van/Minivan,Số tự động,Xăng  3.5 L,Trắng,Xám,AWD - 4 bánh toàn thời gian,7 chỗ,1 Tỷ 380 Triệu
Xe Ford Fiesta Trend 1.5 AT,2015,Xe đã dùng,0 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Trắng,Nhiều màu,FWD - Dẫn động cầu trước,5 chỗ,300 Triệu
Xe Mitsubishi Xpander Premium 1.5 AT,2022,Xe đã dùng,"22,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  1.5 L,Đen,Đen,FWD - Dẫn động cầu trước,7 chỗ,626 Triệu
Xe Porsche Panamera 3.6 V6,2014,Xe đã dùng,"20,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  3.6 L,Trắng,Kem,RFD - Dẫn động cầu sau,4 chỗ,2 Tỷ 200 Triệu
Xe Mercedes Benz GLC 200 4Matic,2023,Xe mới,Xe mới,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Đen,Nâu,AWD - 4 bánh toàn thời gian,5 chỗ,2 Tỷ 299 Triệu
Xe Toyota Yaris Cross 1.5 D-CVT,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Xăng  1.5 L,Trắng,Đen,FWD - Dẫn động cầu trước,5 chỗ,638 Triệu
Xe BMW Z4 sDrive30i M Sport,2021,Xe đã dùng,"30,000 Km",Nhập khẩu,Convertible/Cabriolet,Số tự động,Xăng  2.0 L,Đỏ,Đen,RFD - Dẫn động cầu sau,2 chỗ,2 Tỷ 399 Triệu
Xe Mazda 2 1.5 AT,2016,Xe đã dùng,"41,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Đỏ,Đen,FWD - Dẫn động cầu trước,5 chỗ,350 Triệu
Xe VinFast VF e34 AT,2023,Xe mới,Xe mới,Lắp ráp trong nước,Crossover,Số tự động,Điện  0.1 L,Trắng,Đen,FWD - Dẫn động cầu trước,5 chỗ,710 Triệu
Xe Lexus NX 200t F-Sport,2015,Xe đã dùng,0 Km,Nhập khẩu,SUV,Số tự động,Xăng  2.0 L,Đen,Nhiều màu,AWD - 4 bánh toàn thời gian,5 chỗ,1 Tỷ 270 Triệu
