company,type,mfdate,mileage_v2,condition_ad,gearbox,fuel,carorigin,cartype,carseats,veh_warranty_policy,veh_unladen_weight,veh_gross_weight,cost
Mazda,BT 50,2018,65000,Đã sử dụng,Tự động,Dầu,Thái Lan,,,,,,418.000.000 đ
Ford,Focus,2019,61000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,445.000.000 đ
Hyundai,Tucson,2023,,Mới,Tự động,Xăng,Việt Nam,,5,,,,162.000.000 đ
Hyundai,Elantra,2019,67000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,475.000.000 đ
BMW,5 Series,2022,2000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,2.688.000.000 đ
Toyota,Zace,2021,34000,Đã sử dụng,Tự động,Xăng,Nước khác,,,,,,500.000.000 đ
Mercedes Benz,C Class,2016,46000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,895.000.000 đ
Lexus,LS,2005,180000,Đã sử dụng,Tự động,Xăng,Nhật Bản,,,,,,485.000.000 đ
LandRover,Range Rover Evoque,2013,58000,Đã sử dụng,Tự động,Xăng,Nước khác,,,,,,785.000.000 đ
Kia,Morning,2017,123456,Đã sử dụng,Số sàn,Xăng,Đang cập nhật,,,,,,215.000.000 đ
Kia,K3,2023,3000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,599.000.000 đ
LandRover,Range Rover Evoque,2013,58000,Đã sử dụng,Tự động,Xăng,Nước khác,,,,,,785.000.000 đ
Kia,Morning,2017,123456,Đã sử dụng,Số sàn,Xăng,Đang cập nhật,,,,,,215.000.000 đ
Kia,K3,2023,3000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,599.000.000 đ
Vinfast,Lux A2.0,2022,60000,Đã sử dụng,Tự động,Xăng,,Sedan,,,,,750.000.000 đ
Ford,Ranger,2023,13000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,665.000.000 đ
Hãng khác,Dòng khác,1990,66666,Đã sử dụng,Số sàn,Xăng,Nhật Bản,,,,,,78.000.000 đ
Daewoo,Lanos,2002,79999,Đã sử dụng,Số sàn,Xăng,Đài Loan,,,,,,59.000.000 đ
Mercedes Benz,C Class,2003,150000,Đã sử dụng,Tự động,Xăng,Đức,,,,,,110.000.000 đ
Lexus,RX,2009,58300,Đã sử dụng,Tự động,Xăng,Mỹ,,,,,,825.000.000 đ
Hyundai,Kona,2020,31000,Đã sử dụng,Tự động,Xăng,,SUV / Cross over,,,,,525.000.000 đ
Mercedes Benz,C Class,2021,30000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,1.268.000.000 đ
Lexus,ES,2011,53000,Đã sử dụng,Tự động,Xăng,Nhật Bản,,,,,,745.000.000 đ
Toyota,Innova,2006,220000,Đã sử dụng,Số sàn,Xăng,,Minivan (MPV),,,,,210.000.000 đ
Toyota,Innova,2016,86,Đã sử dụng,Số sàn,Xăng,,SUV / Cross over,,,,,289.000.000 đ
Mazda,CX 8,2020,65000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,780.000.000 đ
Honda,City,2022,14000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,526.000.000 đ
Mitsubishi,Grunder,2010,91000,Đã sử dụng,Tự động,Xăng,Đài Loan,,,,,,339.000.000 đ
Toyota,Wigo,2019,95000,Đã sử dụng,Số sàn,Xăng,,Hatchback,,,,,252.000.000 đ
Chevrolet,Cruze,2014,82,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,250.000.000 đ
Ford,Everest,2020,50300,Đã sử dụng,Tự động,Dầu,Nước khác,,,,,,818.000.000 đ
Ford,Everest,2020,50300,Đã sử dụng,Tự động,Dầu,Nước khác,,,,,,818.000.000 đ
Mazda,6,2021,30000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,668.000.000 đ
Toyota,Camry,2021,19625,Đã sử dụng,Tự động,Xăng,Thái Lan,,,,,,995.000.000 đ
Chevrolet,Captiva,2017,30000,Đã sử dụng,Tự động,Xăng,,SUV / Cross over,,,,,485.000.000 đ
BMW,5 Series,2012,100000,Đã sử dụng,Tự động,Xăng,,Sedan,,,,,500.000.000 đ
Kia,Cerato,2017,38000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,410.000.000 đ
